localidad;ciudad
CIUDAD VIEJA;CoruÒa
ZALAETA ORZAN;CoruÒa
PESCADERIA;CoruÒa
ENSANCHE;CoruÒa
FALPERRA - SANTA LUCIA;CoruÒa
JUAN FLOREZ - SAN PABLO;CoruÒa
CIUDAD JARDIN;CoruÒa
CUATRO CAMINOS;CoruÒa
A GAITEIRA;CoruÒa
OS MALLOS;CoruÒa
MONTE ALTO;CoruÒa
ORILLAMAR;CoruÒa
LOS CASTROS;CoruÒa
AGRA DO ORZAN;CoruÒa
SAGRADA FAMILIA;CoruÒa
SANTA MARGARITA;CoruÒa
LABA—OU - SAN ROQUE;CoruÒa
ELVI—A;CoruÒa
BARRIO DE LAS FLORES;CoruÒa
MONELOS;CoruÒa
EL VENTORRILLO;CoruÒa
CASTRILLON;CoruÒa
ADORMIDERAS;CoruÒa
EL BIRLOQUE;CoruÒa
MATOGRANDE ;CoruÒa
LOS ROSALES;CoruÒa
NOVO MESOIRO;CoruÒa
VIO—O;CoruÒa
EIRIS;CoruÒa
SOMESO;CoruÒa
PALAVEA;CoruÒa
A ZAPATEIRA;CoruÒa
FEANS - MESOIRO;CoruÒa
CASABLANCA - LAS JUBIAS;CoruÒa
O PORTI—O;CoruÒa
RIAZOR;CoruÒa
ABRANTES;Madrid
ACACIAS;Madrid
ADELFAS;Madrid
AEROPUERTO DE BARAJAS;Madrid
AGUILAS;Madrid
ALAMEDA DE OSUNA;Madrid
ALMAGRO;Madrid
ALMENARA;Madrid
ALMENDRALES;Madrid
ALUCHE;Madrid
AMBROZ;Madrid
AMPOSTA;Madrid
APOSTOL SANTIAGO;Madrid
ARAPILES;Madrid
ARAVACA;Madrid
ARCOS;Madrid
ARGANZUELA;Madrid
ARG‹ÅELLES;Madrid
ARROYO DEL FRESNO;Madrid
ATALAYA;Madrid
ATOCHA;Madrid
AUSTRIAS;Madrid
BARAJAS (DISTRITO);Madrid
BARRIO DE LAS LETRAS;Madrid
BARRIO DE SALAMANCA;Madrid
BELLAS VISTAS;Madrid
BERRUGUETE;Madrid
BUENAVISTA;Madrid
BUTARQUE;Madrid
CAMPAMENTO;Madrid
CAMPO DE LAS NACIONES - FERIA DE MADRID;Madrid
CANILLAS;Madrid
CANILLEJAS;Madrid
CARABANCHEL;Madrid
CASA DE CAMPO;Madrid
CASCO HISTORICO DE BARAJAS;Madrid
CASCO HISTORICO DE VALLECAS;Madrid
CASCO HISTORICO DE VICALVARO;Madrid
CASTELLANA;Madrid
CASTILLA;Madrid
CASTILLEJOS;Madrid
CENTRO;Madrid
CHAMARTIN;Madrid
CHOPERA;Madrid
CHUECA;Madrid
CIUDAD JARDIN;Madrid
CIUDAD LINEAL;Madrid
CIUDAD UNIVERSITARIA;Madrid
COLINA;Madrid
COLONIA MARCONI;Madrid
COMILLAS;Madrid
CONCEPCION;Madrid
CONDE DUQUE;Madrid
CORRALEJOS;Madrid
CORTES;Madrid
COSTILLARES;Madrid
CUATRO CAMINOS;Madrid
CUATRO VIENTOS;Madrid
DELICIAS;Madrid
DISTRITO FINANCIERO (PASEO DE LA CASTELLANA);Madrid
EL CA—AVERAL;Madrid
EL GOLOSO;Madrid
EL PARDO;Madrid
EL PLANTIO;Madrid
EL VISO;Madrid
EMBAJADORES;Madrid
ENSANCHE DE VALLECAS;Madrid
ENTREVIAS;Madrid
ESTRELLA;Madrid
FONTARRON;Madrid
FUENTE DEL BERRO;Madrid
FUENTELARREINA;Madrid
GAZTAMBIDE;Madrid
GOYA;Madrid
GRAN VIA;Madrid
GUINDALERA;Madrid
HELLIN;Madrid
HISPANOAMERICA;Madrid
HORCAJO;Madrid
HORTALEZA;Madrid
HUERTAS;Madrid
IBIZA;Madrid
IMPERIAL;Madrid
JERONIMOS;Madrid
JUSTICIA;Madrid
LA LATINA;Madrid
LA PAZ;Madrid
LAS TABLAS;Madrid
LATINA;Madrid
LAVAPIES;Madrid
LEGAZPI;Madrid
LISTA;Madrid
LOS ANGELES;Madrid
LOS CARMENES;Madrid
LOS ROSALES;Madrid
LUCERO;Madrid
MALASA—A;Madrid
MARROQUINA;Madrid
MEDIA LEGUA;Madrid
MILLA DE ORO;Madrid
MIRASIERRA;Madrid
MONCLOA - ARAVACA;Madrid
MONTECARMELO;Madrid
MORATALAZ;Madrid
MOSCARDO;Madrid
NI—O JESUS;Madrid
NUEVA ESPA—A;Madrid
NUMANCIA;Madrid
OPA—EL;Madrid
OPERA;Madrid
ORCASITAS;Madrid
ORCASUR;Madrid
PACIFICO;Madrid
PALACIO;Madrid
PALOMAS;Madrid
PALOMERAS BAJAS;Madrid
PALOMERAS SURESTE;Madrid
PALOS DE MOGUER;Madrid
PARQUE MADRID RIO;Madrid
PASEO DEL PRADO;Madrid
PAVONES;Madrid
PE—A GRANDE;Madrid
PILAR;Madrid
PINAR DEL REY;Madrid
PIOVERA;Madrid
PLATA Y CASTA—AR;Madrid
PORTAZGO;Madrid
PRADOLONGO;Madrid
PRINCESA;Madrid
PROSPERIDAD;Madrid
PUEBLO NUEVO;Madrid
PUENTE DE VALLECAS;Madrid
PUERTA DEL ANGEL;Madrid
QUINTANA;Madrid
RECOLETOS;Madrid
REJAS;Madrid
RETIRO;Madrid
RIOS ROSAS;Madrid
ROSAS;Madrid
SALAMANCA (DISTRITO);Madrid
SALESAS;Madrid
SALVADOR;Madrid
SAN ANDRES;Madrid
SAN BLAS - CANILLEJAS;Madrid
SAN CRISTOBAL DE LOS ANGELES;Madrid
SAN DIEGO;Madrid
SAN FERMIN;Madrid
SAN ISIDRO;Madrid
SAN JUAN BAUTISTA;Madrid
SAN PASCUAL;Madrid
SANCHINARRO;Madrid
SANTA EUGENIA;Madrid
SIMANCAS;Madrid
SOL;Madrid
TETUAN;Madrid
TIMON;Madrid
TRAFALGAR;Madrid
TRES OLIVOS;Madrid
UNIVERSIDAD;Madrid
USERA;Madrid
VALDEACEDERAS;Madrid
VALDEBEBAS;Madrid
VALDEBERN;Madrid
